title,provider,price,rating
"Privatzimmer in Basel, Schweiz,Eigentumswohnung in Saint-Louis, Frankreich,Wohnung in Huningue, Frankreich,Wohnung in Saint-Louis, Frankreich,Privatzimmer in Basel, Schweiz,Wohnung in Basel, Schweiz,Wohnung in Huningue, Frankreich,Wohnung in Saint-Louis, Frankreich,Wohnung in Saint-Louis, Frankreich,Privatzimmer in Allschwil, Schweiz,Loft in Basel, Schweiz,Wohnung in Basel, Schweiz,Wohnung in Basel, Schweiz,Eigentumswohnung in Saint-Louis, Frankreich,Wohnung in Basel, Schweiz,Privatzimmer in Basel, Schweiz,Privatzimmer in Münchenstein, Schweiz,Wohnung in Birsfelden, Schweiz",,"<span class=""_tyxjp1"">89 CHF </span>,<span class=""_tyxjp1"">76 CHF </span>,<span class=""_tyxjp1"">77 CHF </span>,<span class=""_tyxjp1"">104 CHF </span>,<span class=""_tyxjp1"">128 CHF </span>,<span class=""_tyxjp1"">60 CHF </span>,<span class=""_tyxjp1"">85 CHF </span>,<span class=""_tyxjp1"">122 CHF </span>,<span class=""_tyxjp1"">94 CHF </span>,<span class=""_tyxjp1"">138 CHF </span>,<span class=""_tyxjp1"">204 CHF </span>,<span class=""_tyxjp1"">100 CHF </span>,<span class=""_tyxjp1"">220 CHF </span>,<span class=""_tyxjp1"">123 CHF </span>,<span class=""_tyxjp1"">137 CHF </span>",
"Privatzimmer in Basel, Schweiz,Eigentumswohnung in Saint-Louis, Frankreich,Wohnung in Huningue, Frankreich,Wohnung in Saint-Louis, Frankreich,Privatzimmer in Basel, Schweiz,Wohnung in Basel, Schweiz,Wohnung in Huningue, Frankreich,Wohnung in Saint-Louis, Frankreich,Wohnung in Saint-Louis, Frankreich,Privatzimmer in Allschwil, Schweiz,Loft in Basel, Schweiz,Wohnung in Basel, Schweiz,Wohnung in Basel, Schweiz,Eigentumswohnung in Saint-Louis, Frankreich,Wohnung in Basel, Schweiz,Privatzimmer in Basel, Schweiz,Privatzimmer in Münchenstein, Schweiz,Wohnung in Birsfelden, Schweiz",,"<span class=""_tyxjp1"">89 CHF </span>,<span class=""_tyxjp1"">76 CHF </span>,<span class=""_tyxjp1"">77 CHF </span>,<span class=""_tyxjp1"">104 CHF </span>,<span class=""_tyxjp1"">128 CHF </span>,<span class=""_tyxjp1"">60 CHF </span>,<span class=""_tyxjp1"">85 CHF </span>,<span class=""_tyxjp1"">122 CHF </span>,<span class=""_tyxjp1"">94 CHF </span>,<span class=""_tyxjp1"">138 CHF </span>,<span class=""_tyxjp1"">204 CHF </span>,<span class=""_tyxjp1"">100 CHF </span>,<span class=""_tyxjp1"">220 CHF </span>,<span class=""_tyxjp1"">123 CHF </span>,<span class=""_tyxjp1"">137 CHF </span>",
"Privatzimmer in Basel, Schweiz,Eigentumswohnung in Saint-Louis, Frankreich,Wohnung in Huningue, Frankreich,Wohnung in Saint-Louis, Frankreich,Privatzimmer in Basel, Schweiz,Wohnung in Basel, Schweiz,Wohnung in Huningue, Frankreich,Wohnung in Saint-Louis, Frankreich,Wohnung in Saint-Louis, Frankreich,Privatzimmer in Allschwil, Schweiz,Loft in Basel, Schweiz,Wohnung in Basel, Schweiz,Wohnung in Basel, Schweiz,Eigentumswohnung in Saint-Louis, Frankreich,Wohnung in Basel, Schweiz,Privatzimmer in Basel, Schweiz,Privatzimmer in Münchenstein, Schweiz,Wohnung in Birsfelden, Schweiz",,"<span class=""_tyxjp1"">89 CHF </span>,<span class=""_tyxjp1"">76 CHF </span>,<span class=""_tyxjp1"">77 CHF </span>,<span class=""_tyxjp1"">104 CHF </span>,<span class=""_tyxjp1"">128 CHF </span>,<span class=""_tyxjp1"">60 CHF </span>,<span class=""_tyxjp1"">85 CHF </span>,<span class=""_tyxjp1"">122 CHF </span>,<span class=""_tyxjp1"">94 CHF </span>,<span class=""_tyxjp1"">138 CHF </span>,<span class=""_tyxjp1"">204 CHF </span>,<span class=""_tyxjp1"">100 CHF </span>,<span class=""_tyxjp1"">220 CHF </span>,<span class=""_tyxjp1"">123 CHF </span>,<span class=""_tyxjp1"">137 CHF </span>",
"Privatzimmer in Basel, Schweiz,Eigentumswohnung in Saint-Louis, Frankreich,Wohnung in Huningue, Frankreich,Wohnung in Saint-Louis, Frankreich,Privatzimmer in Basel, Schweiz,Wohnung in Basel, Schweiz,Wohnung in Huningue, Frankreich,Wohnung in Saint-Louis, Frankreich,Wohnung in Saint-Louis, Frankreich,Privatzimmer in Allschwil, Schweiz,Loft in Basel, Schweiz,Wohnung in Basel, Schweiz,Wohnung in Basel, Schweiz,Eigentumswohnung in Saint-Louis, Frankreich,Wohnung in Basel, Schweiz,Privatzimmer in Basel, Schweiz,Privatzimmer in Münchenstein, Schweiz,Wohnung in Birsfelden, Schweiz",,"<span class=""_tyxjp1"">89 CHF </span>,<span class=""_tyxjp1"">76 CHF </span>,<span class=""_tyxjp1"">77 CHF </span>,<span class=""_tyxjp1"">104 CHF </span>,<span class=""_tyxjp1"">128 CHF </span>,<span class=""_tyxjp1"">60 CHF </span>,<span class=""_tyxjp1"">85 CHF </span>,<span class=""_tyxjp1"">122 CHF </span>,<span class=""_tyxjp1"">94 CHF </span>,<span class=""_tyxjp1"">138 CHF </span>,<span class=""_tyxjp1"">204 CHF </span>,<span class=""_tyxjp1"">100 CHF </span>,<span class=""_tyxjp1"">220 CHF </span>,<span class=""_tyxjp1"">123 CHF </span>,<span class=""_tyxjp1"">137 CHF </span>",
"Privatzimmer in Basel, Schweiz,Eigentumswohnung in Saint-Louis, Frankreich,Wohnung in Huningue, Frankreich,Wohnung in Saint-Louis, Frankreich,Privatzimmer in Basel, Schweiz,Wohnung in Basel, Schweiz,Wohnung in Huningue, Frankreich,Wohnung in Saint-Louis, Frankreich,Wohnung in Saint-Louis, Frankreich,Privatzimmer in Allschwil, Schweiz,Loft in Basel, Schweiz,Wohnung in Basel, Schweiz,Wohnung in Basel, Schweiz,Eigentumswohnung in Saint-Louis, Frankreich,Wohnung in Basel, Schweiz,Privatzimmer in Basel, Schweiz,Privatzimmer in Münchenstein, Schweiz,Wohnung in Birsfelden, Schweiz",,"<span class=""_tyxjp1"">89 CHF </span>,<span class=""_tyxjp1"">76 CHF </span>,<span class=""_tyxjp1"">77 CHF </span>,<span class=""_tyxjp1"">104 CHF </span>,<span class=""_tyxjp1"">128 CHF </span>,<span class=""_tyxjp1"">60 CHF </span>,<span class=""_tyxjp1"">85 CHF </span>,<span class=""_tyxjp1"">122 CHF </span>,<span class=""_tyxjp1"">94 CHF </span>,<span class=""_tyxjp1"">138 CHF </span>,<span class=""_tyxjp1"">204 CHF </span>,<span class=""_tyxjp1"">100 CHF </span>,<span class=""_tyxjp1"">220 CHF </span>,<span class=""_tyxjp1"">123 CHF </span>,<span class=""_tyxjp1"">137 CHF </span>",
"Privatzimmer in Basel, Schweiz,Eigentumswohnung in Saint-Louis, Frankreich,Wohnung in Huningue, Frankreich,Wohnung in Saint-Louis, Frankreich,Privatzimmer in Basel, Schweiz,Wohnung in Basel, Schweiz,Wohnung in Huningue, Frankreich,Wohnung in Saint-Louis, Frankreich,Wohnung in Saint-Louis, Frankreich,Privatzimmer in Allschwil, Schweiz,Loft in Basel, Schweiz,Wohnung in Basel, Schweiz,Wohnung in Basel, Schweiz,Eigentumswohnung in Saint-Louis, Frankreich,Wohnung in Basel, Schweiz,Privatzimmer in Basel, Schweiz,Privatzimmer in Münchenstein, Schweiz,Wohnung in Birsfelden, Schweiz",,"<span class=""_tyxjp1"">89 CHF </span>,<span class=""_tyxjp1"">76 CHF </span>,<span class=""_tyxjp1"">77 CHF </span>,<span class=""_tyxjp1"">104 CHF </span>,<span class=""_tyxjp1"">128 CHF </span>,<span class=""_tyxjp1"">60 CHF </span>,<span class=""_tyxjp1"">85 CHF </span>,<span class=""_tyxjp1"">122 CHF </span>,<span class=""_tyxjp1"">94 CHF </span>,<span class=""_tyxjp1"">138 CHF </span>,<span class=""_tyxjp1"">204 CHF </span>,<span class=""_tyxjp1"">100 CHF </span>,<span class=""_tyxjp1"">220 CHF </span>,<span class=""_tyxjp1"">123 CHF </span>,<span class=""_tyxjp1"">137 CHF </span>",
"Privatzimmer in Basel, Schweiz,Eigentumswohnung in Saint-Louis, Frankreich,Wohnung in Huningue, Frankreich,Wohnung in Saint-Louis, Frankreich,Privatzimmer in Basel, Schweiz,Wohnung in Basel, Schweiz,Wohnung in Huningue, Frankreich,Wohnung in Saint-Louis, Frankreich,Wohnung in Saint-Louis, Frankreich,Privatzimmer in Allschwil, Schweiz,Loft in Basel, Schweiz,Wohnung in Basel, Schweiz,Wohnung in Basel, Schweiz,Eigentumswohnung in Saint-Louis, Frankreich,Wohnung in Basel, Schweiz,Privatzimmer in Basel, Schweiz,Privatzimmer in Münchenstein, Schweiz,Wohnung in Birsfelden, Schweiz",,"<span class=""_tyxjp1"">89 CHF </span>,<span class=""_tyxjp1"">76 CHF </span>,<span class=""_tyxjp1"">77 CHF </span>,<span class=""_tyxjp1"">104 CHF </span>,<span class=""_tyxjp1"">128 CHF </span>,<span class=""_tyxjp1"">60 CHF </span>,<span class=""_tyxjp1"">85 CHF </span>,<span class=""_tyxjp1"">122 CHF </span>,<span class=""_tyxjp1"">94 CHF </span>,<span class=""_tyxjp1"">138 CHF </span>,<span class=""_tyxjp1"">204 CHF </span>,<span class=""_tyxjp1"">100 CHF </span>,<span class=""_tyxjp1"">220 CHF </span>,<span class=""_tyxjp1"">123 CHF </span>,<span class=""_tyxjp1"">137 CHF </span>",
"Privatzimmer in Basel, Schweiz,Eigentumswohnung in Saint-Louis, Frankreich,Wohnung in Huningue, Frankreich,Wohnung in Saint-Louis, Frankreich,Privatzimmer in Basel, Schweiz,Wohnung in Basel, Schweiz,Wohnung in Huningue, Frankreich,Wohnung in Saint-Louis, Frankreich,Wohnung in Saint-Louis, Frankreich,Privatzimmer in Allschwil, Schweiz,Loft in Basel, Schweiz,Wohnung in Basel, Schweiz,Wohnung in Basel, Schweiz,Eigentumswohnung in Saint-Louis, Frankreich,Wohnung in Basel, Schweiz,Privatzimmer in Basel, Schweiz,Privatzimmer in Münchenstein, Schweiz,Wohnung in Birsfelden, Schweiz",,"<span class=""_tyxjp1"">89 CHF </span>,<span class=""_tyxjp1"">76 CHF </span>,<span class=""_tyxjp1"">77 CHF </span>,<span class=""_tyxjp1"">104 CHF </span>,<span class=""_tyxjp1"">128 CHF </span>,<span class=""_tyxjp1"">60 CHF </span>,<span class=""_tyxjp1"">85 CHF </span>,<span class=""_tyxjp1"">122 CHF </span>,<span class=""_tyxjp1"">94 CHF </span>,<span class=""_tyxjp1"">138 CHF </span>,<span class=""_tyxjp1"">204 CHF </span>,<span class=""_tyxjp1"">100 CHF </span>,<span class=""_tyxjp1"">220 CHF </span>,<span class=""_tyxjp1"">123 CHF </span>,<span class=""_tyxjp1"">137 CHF </span>",
"Privatzimmer in Basel, Schweiz,Eigentumswohnung in Saint-Louis, Frankreich,Wohnung in Huningue, Frankreich,Wohnung in Saint-Louis, Frankreich,Privatzimmer in Basel, Schweiz,Wohnung in Basel, Schweiz,Wohnung in Huningue, Frankreich,Wohnung in Saint-Louis, Frankreich,Wohnung in Saint-Louis, Frankreich,Privatzimmer in Allschwil, Schweiz,Loft in Basel, Schweiz,Wohnung in Basel, Schweiz,Wohnung in Basel, Schweiz,Eigentumswohnung in Saint-Louis, Frankreich,Wohnung in Basel, Schweiz,Privatzimmer in Basel, Schweiz,Privatzimmer in Münchenstein, Schweiz,Wohnung in Birsfelden, Schweiz",,"<span class=""_tyxjp1"">89 CHF </span>,<span class=""_tyxjp1"">76 CHF </span>,<span class=""_tyxjp1"">77 CHF </span>,<span class=""_tyxjp1"">104 CHF </span>,<span class=""_tyxjp1"">128 CHF </span>,<span class=""_tyxjp1"">60 CHF </span>,<span class=""_tyxjp1"">85 CHF </span>,<span class=""_tyxjp1"">122 CHF </span>,<span class=""_tyxjp1"">94 CHF </span>,<span class=""_tyxjp1"">138 CHF </span>,<span class=""_tyxjp1"">204 CHF </span>,<span class=""_tyxjp1"">100 CHF </span>,<span class=""_tyxjp1"">220 CHF </span>,<span class=""_tyxjp1"">123 CHF </span>,<span class=""_tyxjp1"">137 CHF </span>",
"Privatzimmer in Basel, Schweiz,Eigentumswohnung in Saint-Louis, Frankreich,Wohnung in Huningue, Frankreich,Wohnung in Saint-Louis, Frankreich,Privatzimmer in Basel, Schweiz,Wohnung in Basel, Schweiz,Wohnung in Huningue, Frankreich,Wohnung in Saint-Louis, Frankreich,Wohnung in Saint-Louis, Frankreich,Privatzimmer in Allschwil, Schweiz,Loft in Basel, Schweiz,Wohnung in Basel, Schweiz,Wohnung in Basel, Schweiz,Eigentumswohnung in Saint-Louis, Frankreich,Wohnung in Basel, Schweiz,Privatzimmer in Basel, Schweiz,Privatzimmer in Münchenstein, Schweiz,Wohnung in Birsfelden, Schweiz",,"<span class=""_tyxjp1"">89 CHF </span>,<span class=""_tyxjp1"">76 CHF </span>,<span class=""_tyxjp1"">77 CHF </span>,<span class=""_tyxjp1"">104 CHF </span>,<span class=""_tyxjp1"">128 CHF </span>,<span class=""_tyxjp1"">60 CHF </span>,<span class=""_tyxjp1"">85 CHF </span>,<span class=""_tyxjp1"">122 CHF </span>,<span class=""_tyxjp1"">94 CHF </span>,<span class=""_tyxjp1"">138 CHF </span>,<span class=""_tyxjp1"">204 CHF </span>,<span class=""_tyxjp1"">100 CHF </span>,<span class=""_tyxjp1"">220 CHF </span>,<span class=""_tyxjp1"">123 CHF </span>,<span class=""_tyxjp1"">137 CHF </span>",
"Privatzimmer in Basel, Schweiz,Eigentumswohnung in Saint-Louis, Frankreich,Wohnung in Huningue, Frankreich,Wohnung in Saint-Louis, Frankreich,Privatzimmer in Basel, Schweiz,Wohnung in Basel, Schweiz,Wohnung in Huningue, Frankreich,Wohnung in Saint-Louis, Frankreich,Wohnung in Saint-Louis, Frankreich,Privatzimmer in Allschwil, Schweiz,Loft in Basel, Schweiz,Wohnung in Basel, Schweiz,Wohnung in Basel, Schweiz,Eigentumswohnung in Saint-Louis, Frankreich,Wohnung in Basel, Schweiz,Privatzimmer in Basel, Schweiz,Privatzimmer in Münchenstein, Schweiz,Wohnung in Birsfelden, Schweiz",,"<span class=""_tyxjp1"">89 CHF </span>,<span class=""_tyxjp1"">76 CHF </span>,<span class=""_tyxjp1"">77 CHF </span>,<span class=""_tyxjp1"">104 CHF </span>,<span class=""_tyxjp1"">128 CHF </span>,<span class=""_tyxjp1"">60 CHF </span>,<span class=""_tyxjp1"">85 CHF </span>,<span class=""_tyxjp1"">122 CHF </span>,<span class=""_tyxjp1"">94 CHF </span>,<span class=""_tyxjp1"">138 CHF </span>,<span class=""_tyxjp1"">204 CHF </span>,<span class=""_tyxjp1"">100 CHF </span>,<span class=""_tyxjp1"">220 CHF </span>,<span class=""_tyxjp1"">123 CHF </span>,<span class=""_tyxjp1"">137 CHF </span>",
